QUASR coil distance,$L^*_{\nabla \vec{B}}$,$L_{\vec{B} \cdot \nabla \vec{B}}$,$L_{\nabla |B|}$,$L_{\max \sigma}$,$L_{\sigma}$,$L_{fsab}$
4.606347763359004,2.4859923299096254,1.7911858566246068,2.5898400403483715,1.7797445142775596,2.4859923299096254,1.339192906603113
11.454347383322844,14.354273144866717,14.645373576058901,12.489267500567045,14.281645279899575,14.354273144866715,7.807460593516213
7.440103628596208,12.184745383274759,9.779851605098,10.47885405156385,9.816798025507874,12.184745383274759,7.029199988549747
6.5782092893061135,5.218542893952789,2.581496759862099,6.32809132208789,3.824035394180588,5.2185428939527885,3.08131961451802
8.742079892946503,17.035122976575245,16.551875350922966,13.830352750170782,16.381759073497253,17.03512297657524,9.483044314904873
2.3014165855889717,2.840086481539171,2.3049246095209677,2.5656585598735613,2.5814732337787123,2.840086481539171,1.3391491106950213
11.153705402936556,17.63575766727969,12.158637635398033,14.36177940375366,16.085749252484682,17.635757667279684,9.949835524244897
6.294474777615407,6.889770873140724,5.149265627664515,6.159569342319009,6.8113258687270015,6.889770873140724,3.629086995445467
0.7510696670859274,0.9083246428044481,0.495616382792067,1.349512810555824,0.6519481568267497,0.9083246428044481,0.4749651289703163
4.823459012202062,7.939956324649261,5.900343144397227,6.974277171547701,7.622968439842712,7.939956324649262,4.218748733047298
2.2597980643313758,2.4323992218885415,1.5859423447648053,1.8952106255356975,2.0798533850050918,2.432399221888541,1.172591957575692
11.954680183319288,19.706880949411843,19.352032441162862,15.959508209105651,19.063350601724554,19.706880949411847,10.993102685595852
4.025896032250353,3.789345414039641,3.0711489603198663,4.254372501851753,2.7295637640125516,3.789345414039641,2.415500751844933
5.735141959325443,6.900400072932562,5.178706048675808,6.146413482141542,6.8490731804776654,6.900400072932562,3.600290172551705
9.298111976405385,16.02074359385775,15.315169424539079,12.840301705025684,15.01666879953341,16.02074359385775,9.149435974801237
8.47432889865024,14.22728725466875,11.144989040483477,13.781252626163042,13.879822543048165,14.227287254668747,8.045666567225693
2.371923729612024,2.956567790022266,2.029629898194997,2.533356513145619,2.728802397111879,2.956567790022266,1.400356329155769
8.32520969280886,13.052850026227626,10.789158032545227,11.693341830837559,11.306399024444637,13.052850026227627,7.0872019540959315
8.860773591283037,15.76339426269539,12.071730578022414,14.575186881702896,15.02395620238583,15.763394262695389,8.711127397396933
9.02302569531167,15.608363832857142,11.804611073663198,13.889038309013229,14.751506831220981,15.608363832857142,8.767309208366157
2.006884400798874,2.1035693276326435,1.5798761556796543,1.795943240189651,1.8650007970740983,2.1035693276326435,0.9351640790375718
2.9479372669106576,4.202537032172715,2.795440959524205,3.0507711667694895,3.7188171121115623,4.202537032172715,1.925702045471664
10.42636605559339,12.982741600474656,11.81261216807593,10.624586523932452,12.504543317335841,12.982741600474657,6.006338010543777
3.1006261576341547,4.355538129670745,3.8918419836956093,3.9074954981372008,4.27155768601945,4.355538129670747,2.10499753982601
13.385528443813087,15.365555302842198,14.39676885850274,13.733420735715798,15.229662847062489,15.3655553028422,8.428425852550037
3.745910921141001,8.54381013310143,4.7037699812084135,7.050912840496616,6.944633938857072,8.543810133101427,4.669589193183572
13.035769552716808,18.684712473298035,14.281691093904247,16.49571622017054,18.636366033550484,18.684712473298035,10.245950308494182
8.915615095983735,16.09488521995974,15.221304308286303,12.659957344501395,15.28271093478786,16.09488521995974,9.086491182017893
6.696816289020971,6.971214089188582,6.544709154908874,6.175899153840115,6.910695348402788,6.9712140891885825,3.6748642691651456
3.84535397057537,4.422857596162789,3.172415858248781,3.8750755815868447,4.300577955054035,4.422857596162789,2.210438381725766
0.7975279487970498,1.4560457916144123,1.073880972443007,1.1309707461680538,1.3772621866744514,1.4560457916144123,0.5268303249255856
3.0731627268392456,2.080401293613762,1.2128677250961482,1.7671218418859338,1.5213391625459187,2.080401293613761,1.2377380049866358
2.8156191889739386,4.21248876907445,3.0979564270247884,3.7013746899940663,4.008497216070842,4.212488769074448,2.1165053664079894
1.0976074547762606,1.708433459984763,1.5038049411794845,1.386307154954611,1.6550661367578696,1.7084334599847633,0.6714464894285477
3.987296277190944,4.291156449290769,3.0895771496222824,3.7943727172493666,4.162182788217163,4.29115644929077,2.145702558280082
2.559479374369216,3.142449442735874,2.1284079273340875,2.661149454361099,2.94597742710474,3.142449442735874,1.4721485129590715
1.7928949628643844,2.0977821195714217,1.5292346839126454,1.761842165558948,1.835160832858769,2.0977821195714217,0.9513201143474163
7.98125387185406,16.78039811252278,13.143098435513169,15.321444922930926,16.467035510233035,16.78039811252278,9.38912975139721
12.62964565919209,17.883213570600844,15.60828803039344,14.889839066191758,17.695910348810653,17.883213570600837,9.760758028145625
12.768284376772288,7.336636344094869,5.214920827837041,7.498133185196537,6.406776030244365,7.336636344094869,4.3193357517610345
2.9585359487736147,3.373513118733387,2.7848076199158767,2.8017022101867286,3.2345178974880247,3.373513118733387,1.6336425324855783
4.070626915224397,4.452355730564567,3.9863160609660167,3.770177352387125,4.2946441436375915,4.452355730564567,2.286563747956232
8.66987622457261,13.137907261336032,10.243073686167895,11.69075208258693,12.052273903789121,13.137907261336032,7.551718200162947
8.781649508995796,15.928827740565016,15.097849395675018,12.555904979141372,15.367988279868086,15.928827740565014,9.003556218122354
2.0552310689128723,2.094876919712292,1.3397968062546532,1.760035942135284,1.8353970607075278,2.094876919712292,0.9478501352510967
9.379497446010992,14.360011783700902,11.915052203109813,12.70309739851337,13.237043105527109,14.360011783700902,8.882669996401177
8.780535783560369,23.140164020080253,23.036272240980814,17.51741649564578,21.412282076195588,23.140164020080256,12.861114866601824
3.004039075626294,3.301444685350561,2.1117120558866347,2.787351624894306,2.8415515139895353,3.301444685350561,1.582882691386851
1.5758293876219736,1.8740962856179204,1.2595963012096298,1.466575342666049,1.5606746220622867,1.8740962856179206,0.8376443666204968
1.78763993920875,1.9548513506763463,1.2250148126835916,1.6534029128496872,1.4232181772349646,1.954851350676345,0.8202853902706773
8.278868368076564,15.129775828172333,11.398847955296775,14.264045652896055,14.90178220873014,15.129775828172336,8.545315683264397
2.515320012154735,3.1112793566437693,2.6404522836864928,2.6972605462912993,2.9434521790483283,3.11127935664377,1.423909077072093
3.0083296955989445,3.37720185854072,2.1253693898709454,2.6450518305664086,2.9908099041857175,3.3772018585407197,1.6962891022045021
4.915193116499838,6.956919599078981,5.208706021166398,6.092736158717763,6.669558558365369,6.956919599078981,3.6520920748891843
3.6082436306268373,3.4418228242712017,5.590261004006551,3.9528201195326167,2.6744211149647765,3.4418228242712026,2.1565641559911746
5.641198026579367,8.711540759181892,8.022024500130387,6.7611014142530435,8.264575345408067,8.71154075918189,4.811252574858649
8.638550377927167,14.3997157940767,9.992319551566995,12.390602054936682,12.657043090197972,14.3997157940767,8.291863192898472
12.632924489891312,14.453119365219981,14.064371296930878,12.153463145968843,14.32618368389958,14.453119365219981,7.911142871665146
4.806739486757198,6.382074026354053,5.378011328468145,4.944759030541614,5.53154571796263,6.382074026354053,3.3059807653853297
11.396360832065783,7.684937540174339,6.131678656476347,6.824259679075646,7.0182577601379945,7.684937540174339,4.026038071917946
12.361997593295568,15.676480668615323,14.02675389217049,13.768866711038852,15.555527438246534,15.67648066861532,8.542474965051724
9.616793807459903,16.803364736227277,12.70628785014321,15.514738508609732,16.4456505049694,16.80336473622728,9.415780225412563
13.405928987791928,17.84761343212109,14.24806066213692,15.996180908705755,15.859567169282615,17.84761343212109,10.093435052442812
3.3713140054351034,7.173686963991684,4.959445995337134,6.018039609272974,6.478440672044378,7.173686963991685,3.829753878322039
2.7224242519746533,1.1901498348401371,0.7104934498872437,1.0706574555623378,0.9402051142487009,1.1901498348401371,0.5013298157547798
0.5677606655831815,1.973105415088399,1.5540056985513444,1.5767510300078413,1.8253611552680153,1.9731054150883993,0.7914550108562008
2.7134854721296446,3.2039617131855893,2.1284908583586666,2.674847776281925,3.022259136432464,3.2039617131855893,1.5157451743155428
9.379181177275596,17.108674476287916,12.307834409909503,15.045110847798098,16.20365184055022,17.108674476287916,9.673760644422561
5.842646692755186,6.847254080791309,5.095046271074595,6.085171958367163,6.752688622062813,6.84725408079131,3.62425977024133
2.0152435014675945,2.7927270051353115,1.9583080114500577,2.5254900733060706,2.5256930001899427,2.792727005135312,1.322512438994891
3.7739511773628958,6.722566354781812,5.104517343309879,5.201367338678827,6.187582537704806,6.722566354781811,3.7400452873928107
3.7601193757838627,4.294870796790627,3.9751451165924085,3.843263781758575,4.193304829277822,4.294870796790626,2.1257948206990633
14.144527764097415,14.620973330799316,13.508459796989408,12.571542676167496,14.289943970441483,14.620973330799316,8.264201976259374
