$L_{REGCOIL}$,$L^*_{\nabla \vec{B}}$,$L_{\vec{B} \cdot \nabla \vec{B}}$,$L_{\nabla |B|}$,$L_{\max \sigma}$,$L_{\sigma}$,$L_{fsab}$
1.6909439438176965,1.543526512249847,1.1608682569440407,1.1921526230915993,1.4437688048082788,1.5435265122498474,0.5758135092091651
4.819463980175483,2.873377263664761,2.04641555758165,2.4067500050835675,2.667630587701689,2.8733772636647603,1.4438865917744343
5.547155005211156,2.962802046210117,2.11565125357689,2.493838191424719,2.4762009764193738,2.962802046210117,1.379237112891939
2.7496918063799005,2.111988755502327,1.3561414127533662,1.782301353784054,1.861603936067429,2.1119887555023276,0.9521614487073724
4.949370869441928,4.0247356428377214,3.725528947282571,3.7302254580730025,3.6770079455043985,4.024735642837723,2.0669499808088485
2.6105024318796812,1.7366234080705136,1.0757552301701951,1.6902711196498,1.3571605755407392,1.7366234080705139,0.7891828675665215
3.6429490999050014,2.1482267517409817,1.278914108680903,1.8160596892059113,1.588161037404139,2.148226751740981,0.9528439199558155
2.2473800146009912,1.670871213530898,1.1186545513633677,1.3653676385528715,1.3970377365186712,1.670871213530898,0.7168737130031185
2.0201010795805754,1.393037648502139,1.0601619413749959,1.1467239763676706,1.3662070233210057,1.393037648502139,0.44252357441210305
2.9079073238599737,2.2514988190990657,1.7095694739481968,1.9960961592449562,2.085058688291145,2.2514988190990657,0.9743703741045852
5.4455054253628825,3.301444685350561,2.1117120558866347,2.787351624894306,2.8415515139895353,3.301444685350561,1.582882691386851
3.4686819765643944,2.684146141628984,2.109226635318645,2.3782679018747843,2.333345463538645,2.684146141628984,1.3061641517940816
4.090928987877567,2.4371138888003387,1.6148629578234381,1.8998075973626651,2.0874344198212573,2.437113888800339,1.1705647857057553
1.9030923148510308,0.9367079866418376,0.7917162633010602,0.7922639692371404,0.7133705343632236,0.9367079866418375,0.3877845083549648
2.9325335475307974,2.242274091833057,1.4080009551149557,1.9365411569423678,2.002590638211368,2.242274091833057,0.9182789988296621
4.064420286819635,2.434751280271797,1.5659931029479557,1.8973306385743223,2.0809493562684693,2.4347512802717968,1.1764240298520974
13.626148524249713,5.204045189304045,4.330728504080389,5.028486100789322,4.226148524074812,5.204045189304046,2.6159051446000583
4.142355915455678,2.450172692412541,1.4739189352575168,1.9138977492251084,2.0941315479895986,2.450172692412541,1.1912158455203354
7.157688541919676,4.6707585399490315,3.301052064036756,3.9731200529382065,4.53343520155276,4.670758539949032,2.34794386396671
3.737700050331158,2.8975144627554212,1.9514134795531153,2.5403614398909404,2.65908078847328,2.8975144627554217,1.3768079692770825
2.2581513871231405,1.668126360818689,1.114763615155895,1.3677125369347238,1.3994826273322756,1.6681263608186887,0.7181776739129785
5.669606846100452,2.975857214767424,2.5152049070641063,2.5049629492014374,2.484374430116231,2.975857214767424,1.3843412442374832
4.0608476289445,2.361536577829694,1.3911054248545047,1.8517536523200082,1.9782031651691343,2.361536577829694,1.1526605477028522
2.492917643502314,1.8657573663635978,1.1709995594763236,1.5343401034452746,1.7540492917938393,1.8657573663635978,0.7907234032948058
16.127102319574412,7.336636344094869,5.214920827837041,7.498133185196537,6.406776030244365,7.336636344094869,4.3193357517610345
2.9619546147726576,2.0902497260659922,1.3475996884014334,1.7484042365176375,1.827418081571347,2.090249726065992,0.9452160155537396
