QUASR coil distance,$L_{REGCOIL}$_0
0.7256206833473636,1.6909439438176965
5.783404606044387,4.819463980175483
2.247866665138956,5.547155005211156
1.9586132678976576,2.7496918063799005
4.221034291125183,4.949370869441928
2.7716994388291627,2.6105024318796812
1.8610470958112528,3.6429490999050014
1.5236550704124798,2.2473800146009912
0.643946497066525,2.0201010795805754
1.7811242431738465,2.9079073238599737
3.004039075626294,5.4455054253628825
2.00412133801279,3.4686819765643944
2.3015761300841353,4.090928987877567
1.2118014951963603,1.9030923148510308
3.781493864910146,2.9325335475307974
2.231279088404712,4.064420286819635
3.8731989166111065,13.626148524249713
2.23562920003517,4.142355915455678
3.70851595279479,7.157688541919676
2.5490652249697843,3.737700050331158
1.6764650714796665,2.2581513871231405
2.673784545336932,5.669606846100452
2.2973586593257256,4.0608476289445
1.9538956948667479,2.492917643502314
12.768284376772288,16.127102319574412
2.0322044767292553,2.9619546147726576
0.6814309725966128,3.9476961205121714
2.164541654961627,3.877444948388967
3.6957883794795476,4.095732348930738
4.230574074080625,5.053496243675408
0.5678313271250418,2.1606689305519438
2.2597980643313758,4.09091713984833
0.486769908108908,2.165651581707413
1.5791065283338568,2.2647424985213034
0.5675973247951511,2.9133920678055425
3.0083296955989445,5.52536623150508
3.1360133607227563,5.493189996111887
2.274053850160414,4.08755102172178
2.0496826560261927,2.675657775539318
0.48667215972242084,2.2178847645566746
1.5218485585158867,2.1851730223428483
1.5459567567757535,2.3877522310711177
1.067646407177343,2.317944952590663
2.965416263137237,5.434958293951874
3.1194880059725616,5.466369078546979
1.6621207244631855,3.0115154326565787
0.8835652632699968,2.0383026700056717
7.544460935058848,11.161982009733212
0.4868803494366774,2.1706843217593503
1.1825894142348992,3.4721743555821716
3.314923011674656,3.1745805803234175
1.5726744241065713,3.515588479321258
4.163264849158518,4.870316411117887
2.9322455146753854,5.679984521596216
2.814968104326059,5.414673058059984
1.676270554088233,2.9535009030703345
4.172869100346633,4.761692130787246
4.6941341132246155,7.547741605574075
1.189189685966349,2.4050873566991586
2.3264430096695135,4.011236619034538
1.1589464225974775,2.12989708918906
2.184529484336667,2.7524928292604582
2.9819909060396226,3.779912841578437
2.716046773017286,3.724826617674205
2.2539648057203885,2.7397762826181964
0.4867861931035937,1.7135328051786316
3.0731627268392456,5.6314560940068885
2.367474956323223,3.7160637805981285
2.9092461850754807,5.422207656926179
2.2812800092200423,4.083466250131325
1.1996038989154172,2.0762962830181944
1.4208745475549556,2.2160818499474564
3.7405416751303835,7.418064966369541
1.9392363508330233,2.631063045263051
2.006884400798874,2.695235472729909
0.9822432492201972,1.9137478750440275
2.13413565223658,3.785206617903308
2.5409339303781793,5.6255853053706355
2.7035232830482383,3.5768957435367303
2.024834813482794,2.738666829349637
1.7297075622131577,2.972029981641651
0.6332838772806789,1.9618316149293824
2.6177237923391843,5.197701296597448
1.1113618086582622,2.067893508524765
2.272140678573416,4.115894084698173
3.751776708104002,7.277701232366133
1.9139130044524644,3.906401500060846
9.640049914983823,27.251101984764876
1.6070960507256409,3.0317773525735072
1.2805221253388184,2.482970817470891
5.721012339944542,7.573533683602849
2.2641374365152647,4.081482184172734
1.2350839005268153,2.987326050774272
8.66987622457261,26.335890903150233
2.5693303051582626,3.4691056896874053
2.611217732884935,5.486411206496408
2.8828431626318496,3.473459860458223
11.396360832065783,17.06296811920825
0.7975279487970498,1.9184355024277597
1.790828640445947,3.9418788664643896
1.2826614715409543,2.5306045894530103
0.7390840645170663,1.481924014757877
0.9344620068464559,2.457044268518305
11.734319619582243,18.925604357059047
1.9621836340897283,3.7515346306347737
4.163032465379049,5.019017766048032
3.260666615621443,7.526703679180479
1.0149943906896834,1.7474645332209209
1.4434036953870135,3.1126378000380672
3.0820482699204788,5.500644003598666
0.5679344221381444,2.7269843761296606
1.1795834678222201,2.2371277694045806
2.3624095884920755,4.02271390013125
0.920577044406291,1.9666069652533635
2.9371281992915588,5.503110809170955
6.269149998632243,3.9858983575161377
2.971267132102568,5.491919922221941
3.6880491403677715,8.80540074920464
1.9766628763437868,3.7423688006619087
3.420977793412564,4.955205718727847
3.0754131287398554,11.415424060106092
10.121572394757626,22.31660448591909
1.172549913033275,2.5267320791848493
1.7267962179915692,4.042271207288384
1.0122811668224863,2.241123895754838
2.0404334840601916,4.057810538771956
