,qs_error,total_coil_length,total_coil_length_threshold,mean_iota,max_kappa,max_msc,nc_per_hp,nfp,aspect_ratio,ID,minor_radius,Nsurfaces,volume,helicity,QUASR coil distance,$L^*_{\nabla \vec{B}}$,$L_{\vec{B} \cdot \nabla \vec{B}}$,$L_{\nabla |B|}$,$L_{\max \sigma}$,$L_{\sigma}$,$L_{fsab}$
0,1.2393105080454642e-06,71.9998812474387,72.0,0.6,4.984245767466174,5.000007691919404,2,3,20.00001398155841,650216,0.0499999696635281,1,0.0493479666808583,0,4.606347763359004,2.4859923299096254,1.7911858566246068,2.5898400403483715,1.7797445142775596,2.4859923299096254,1.339192906603113
1,7.851575545809527e-07,60.00000720478265,60.0,0.5,4.110292538028787,5.000000493458085,3,2,10.000723318568609,191353,0.0999927549325524,2,0.1973634621935507,0,11.454347383322844,14.354273144866715,14.6453735760589,12.489267500567044,14.281645279899577,14.354273144866715,7.807460593516213
2,6.101971109974413e-07,57.00000278725344,57.0,0.6,3.2959232289572,5.000000032890866,3,2,9.999999237409746,373297,0.1000000025419677,2,0.1973920880217876,0,7.440103628596208,12.18474538327476,9.779851605098,10.47885405156385,9.816798025507874,12.18474538327476,7.029199988549747
3,3.301208161640045e-07,75.0000022701895,75.0,0.1,4.999917465947679,5.000000273833818,3,2,3.999999816673692,772209,0.2500000038192982,5,1.23370055013617,0,6.5782092893061135,5.218542893952789,2.581496759862099,6.32809132208789,3.824035394180588,5.2185428939527885,3.08131961451802
4,2.7478177531143625e-05,54.00017341753089,54.0,0.5,4.194812451064356,5.000011178945549,2,3,6.666680632551333,222035,0.1499998952560112,3,0.4441321980490209,0,8.742079892946503,17.035122976575245,16.551875350922966,13.830352750170782,16.381759073497253,17.03512297657524,9.483044314904872
5,2.825491846275633e-06,57.00001480254423,57.0,0.6,3.934924720609727,5.000000120148778,3,2,6.66666422331791,1055756,0.1500000183251201,3,0.444132198049021,0,2.301416585588972,2.840086481539171,2.304924609520968,2.5656585598735613,2.5814732337787123,2.840086481539171,1.3391491106950213
6,0.0004123711961292,57.00253732043605,57.0,0.3,5.000058231644254,5.000049888756227,2,3,4.000053810466759,804745,0.2499988789586633,5,1.233700550136172,0,11.153705402936556,17.63575766727969,12.158637635398032,14.36177940375366,16.085749252484682,17.635757667279684,9.949835524244897
7,1.9915035000218644e-05,57.60025286382236,57.6,1.2,6.228014170078234,8.406358802359618,2,3,7.999982401532644,1913699,0.1250000916588196,3,0.3084251375340502,1,6.294474777615407,6.889770873140724,5.149265627664515,6.159569342319009,6.8113258687270015,6.889770873140724,3.629086995445467
8,6.955748802959894e-06,66.0000316268263,66.0,0.1,5.000010372837664,5.0000020782077605,2,3,5.000002980474443,50151,0.1999999602603565,4,0.7895683520871483,0,0.7510696670859274,0.908324642804448,0.495616382792067,1.349512810555824,0.6519481568267497,0.908324642804448,0.4749651289703163
9,6.224501738980853e-07,66.00000248137117,66.0,0.4,4.563541157933612,4.464184880897778,3,2,4.999999719114256,190403,0.2000000037451434,4,0.7895683520871493,0,4.823459012202062,7.939956324649261,5.900343144397227,6.974277171547701,7.622968439842712,7.939956324649262,4.218748733047298
10,3.718373143293702e-07,84.00000512590793,84.0,0.2,4.99986359223732,5.000000502940152,2,3,6.666667189378584,646186,0.1499999960796608,3,0.4441321980490209,0,2.259798064331376,2.432399221888541,1.5859423447648051,1.8952106255356973,2.079853385005092,2.432399221888541,1.172591957575692
11,3.477106550294177e-05,102.0016140434128,102.0,0.9,3.2811330266854,3.3523475815404,2,3,5.000144723322333,654020,0.1999980703929366,4,0.7895683520871486,0,11.954680183319288,19.706880949411843,19.352032441162866,15.959508209105651,19.063350601724554,19.706880949411847,10.993102685595852
12,3.230376823282528e-07,66.00000441702983,66.0,0.2,4.195075429654785,5.000001398481781,2,3,9.999999532821164,51220,0.1000000015572629,2,0.1973920880217876,0,4.025896032250353,3.789345414039641,3.0711489603198663,4.254372501851753,2.729563764012552,3.789345414039641,2.415500751844933
13,1.2854013304717082e-08,96.0000017709128,96.0,0.4,4.485279984392674,5.000000130192229,3,2,4.999999936284366,896360,0.2000000008495419,4,0.7895683520871505,0,5.735141959325443,6.900400072932562,5.178706048675808,6.146413482141542,6.8490731804776654,6.900400072932562,3.600290172551705
14,2.342890736147114e-06,98.999991918297,99.0,0.2,5.000001840418387,5.000000272911789,2,3,5.000001999519494,219656,0.1999999733397471,4,0.7895683520871474,0,9.298111976405384,16.02074359385775,15.31516942453908,12.840301705025684,15.01666879953341,16.02074359385775,9.149435974801236
15,8.203657525271662e-08,99.00000511396188,99.0,0.7,4.469331328920761,4.999999681731101,3,2,4.999999794624727,1057570,0.200000002738337,4,0.7895683520871485,0,8.47432889865024,14.22728725466875,11.144989040483477,13.781252626163042,13.879822543048164,14.227287254668749,8.045666567225693
16,1.6000234483970235e-09,84.00000013618397,84.0,0.1,4.951058043022798,4.087714530709318,3,2,10.000000051460402,614426,0.0999999998284653,2,0.1973920880217872,0,2.371923729612024,2.956567790022266,2.029629898194997,2.533356513145619,2.728802397111879,2.956567790022266,1.400356329155769
17,1.772559116907433e-06,69.00000457301118,69.0,0.2,2.802411849159411,3.419056152015952,3,2,3.999999667132195,369275,0.2500000069347462,5,1.2337005501361682,0,8.32520969280886,13.052850026227626,10.789158032545227,11.69334183083756,11.306399024444636,13.052850026227627,7.087201954095932
18,1.3042019021295549e-05,99.00008609973462,99.0,0.8,5.000017312602584,5.0000257681549405,2,3,6.666691960543215,226032,0.1499996987494125,3,0.444131207216279,0,8.860773591283037,15.76339426269539,12.071730578022414,14.575186881702896,15.02395620238583,15.763394262695387,8.711127397396933
19,3.9765712739714754e-08,108.0000016492136,108.0,0.3,3.193525128262934,2.4742334151407137,3,2,3.333333349435086,1053505,0.2999999995169475,6,1.7765287921960866,0,9.02302569531167,15.608363832857142,11.804611073663198,13.889038309013229,14.75150683122098,15.608363832857142,8.767309208366157
20,4.9155669705075444e-08,59.9999999812422,60.0,0.9,4.154312478115448,5.000000576621786,2,3,20.000000110983635,226401,0.0499999999075136,1,0.0493480220054467,0,2.006884400798874,2.1035693276326435,1.5798761556796543,1.795943240189651,1.8650007970740985,2.1035693276326435,0.9351640790375718
21,1.2987304290214746e-08,87.00000552462129,87.0,0.7,4.997664081114535,4.999996329776245,2,3,19.99999808044118,651560,0.0500000015996324,1,0.0493480220054468,0,2.9479372669106576,4.202537032172715,2.795440959524205,3.050771166769489,3.7188171121115614,4.202537032172715,1.925702045471664
22,3.864946459200345e-07,66.00000198275362,66.0,0.2,4.121923693943581,5.000000524135379,2,3,10.000000586046344,645863,0.0999999980465122,2,0.197392088021787,0,10.42636605559339,12.982741600474656,11.81261216807593,10.624586523932452,12.50454331733584,12.982741600474656,6.006338010543777
23,4.996891457136361e-06,107.9999605129833,108.0,0.2,4.325423755594954,4.999996971777319,2,3,4.000002439943373,925208,0.2499999491678671,5,1.233700550136171,0,3.1006261576341547,4.355538129670745,3.891841983695609,3.9074954981372008,4.27155768601945,4.355538129670747,2.10499753982601
24,1.3735454020490121e-07,87.00000037025099,87.0,0.4,4.999958703072238,4.999999837399724,3,2,3.999999956151672,22999,0.2500000009135067,5,1.2337005501361686,0,13.385528443813088,15.365555302842198,14.39676885850274,13.733420735715798,15.229662847062489,15.3655553028422,8.428425852550037
25,0.0005133128194635,72.00022532242401,72.0,0.3,4.994148342035767,5.000140366248811,2,3,2.8573306098518847,805055,0.3499923337668953,7,2.418053078266894,0,3.745910921141001,8.54381013310143,4.7037699812084135,7.050912840496616,6.944633938857072,8.543810133101427,4.669589193183572
26,5.437740433280621e-10,81.00000061883556,81.0,0.1,3.950929156531264,4.342292712755259,3,2,20.000000064870218,892913,0.0499999999459414,1,0.0493480220054466,0,13.035769552716808,18.684712473298035,14.281691093904248,16.49571622017054,18.636366033550484,18.684712473298035,10.245950308494182
27,2.709013248521007e-06,57.00001827992445,57.0,0.1,4.975722042716302,5.00000452767647,2,3,9.999999047018644,802600,0.1000000031766047,2,0.1973920880217871,0,8.915615095983735,16.09488521995974,15.221304308286305,12.659957344501397,15.28271093478786,16.09488521995974,9.086491182017893
28,2.0260530616518586e-06,69.00003375667892,69.0,0.4,4.694778565326734,5.000001643211552,3,2,5.000073263668056,895856,0.199997009163646,4,0.7895444993865927,0,6.696816289020971,6.971214089188582,6.544709154908874,6.175899153840115,6.910695348402788,6.971214089188583,3.6748642691651456
29,1.4932517790487512e-06,57.00002001962225,57.0,0.5,4.905024211965456,5.000001789432855,2,3,20.0000157355246,54222,0.0499999591492684,1,0.0493479398771332,0,3.84535397057537,4.422857596162789,3.172415858248781,3.8750755815868447,4.300577955054035,4.422857596162789,2.210438381725766
30,6.516032378507778e-05,60.00029957905833,60.0,0.8,4.6995705682436295,5.000029046812112,2,3,5.000148399188936,652151,0.1999948556215443,4,0.7895308585303494,0,0.7975279487970498,1.4560457916144125,1.073880972443007,1.1309707461680538,1.3772621866744514,1.4560457916144125,0.5268303249255856
31,3.074190767258431e-05,60.00004720443607,60.0,0.8,3.678727555083716,5.000008074184882,3,2,9.999994687746636,621426,0.1000000177075174,2,0.1973920880217869,0,3.0731627268392456,2.080401293613762,1.2128677250961482,1.7671218418859338,1.5213391625459187,2.080401293613761,1.2377380049866358
32,2.1294088572784987e-06,75.00005918613175,75.0,0.3,4.397286319638936,5.000008697724586,2,3,20.000006295222136,805105,0.0499999947171154,1,0.0493480218962873,0,2.8156191889739386,4.21248876907445,3.0979564270247884,3.7013746899940654,4.008497216070842,4.212488769074448,2.1165053664079894
33,2.2968797003349952e-06,60.00001440699291,60.0,1.3,6.719834018396041,10.515294382360924,2,3,11.9999984322073,1451198,0.0833333369624833,2,0.1370778389040187,1,1.0976074547762606,1.708433459984763,1.5038049411794845,1.386307154954611,1.6550661367578696,1.7084334599847633,0.6714464894285477
34,7.539296764482722e-06,54.00005634673848,54.0,1.2,7.980126265322144,15.198628470127518,2,3,11.999992683950474,1301577,0.0833333502686399,2,0.1370778389040185,1,3.987296277190944,4.291156449290769,3.0895771496222824,3.794372717249367,4.162182788217163,4.29115644929077,2.145702558280082
35,7.608062022889008e-10,102.0000013275226,102.0,0.3,3.6296639966760105,4.408397268674063,3,2,20.000000344019927,616861,0.0499999997133167,1,0.0493480220054468,0,2.559479374369216,3.142449442735874,2.1284079273340875,2.661149454361099,2.94597742710474,3.142449442735874,1.4721485129590717
36,1.4139120611757836e-05,72.00006512631658,72.0,0.4,5.000028088471779,5.000007561363077,2,3,5.000009545402949,1084611,0.1999998727281226,4,0.7895683520871482,0,1.7928949628643844,2.0977821195714217,1.5292346839126454,1.761842165558948,1.835160832858769,2.0977821195714217,0.9513201143474164
37,5.063246125657286e-06,107.99985719418665,108.0,0.8,4.5523667548436375,4.998821630146168,2,3,5.000002469254022,1089567,0.1999999670766239,4,0.789568352087149,0,7.98125387185406,16.78039811252278,13.143098435513169,15.321444922930926,16.467035510233035,16.78039811252278,9.38912975139721
38,9.143315946603256e-07,72.00000333323459,72.0,0.1,5.00000140476004,5.000000897397606,3,2,3.999999778470389,892742,0.2500000046152002,5,1.2337005501361673,0,12.62964565919209,17.883213570600844,15.60828803039344,14.889839066191758,17.695910348810653,17.883213570600837,9.760758028145624
39,5.186230258288657e-09,69.00000063882135,69.0,0.1,3.659822069414696,4.999877987241144,3,2,19.9999998445152,368249,0.0500000001295706,1,0.0493480220054467,0,12.768284376772288,7.336636344094869,5.214920827837041,7.498133185196537,6.406776030244365,7.336636344094869,4.3193357517610345
